macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1,M_condition
0.10520580089244498,0.08447098291882105,0.28958333333333336,0.11546237538218804,0.417910447761194,0.4,0.4375,0.0,0.0,0.0,0.020618556701030927,1.0,0.010416666666666666,0.0,0.0,0.0,0.0875,0.0457516339869281,1.0,0.674527849292167,0.3092888805222046,0.7730891719745223,0.4126638840641587,0.5486590038314176,0.09190553496622575,0.6540098566308244,0.6215678007158744,0.681025641025641,0.3433585104191974,0.7158555729984302,0.07694867244556686,MOGFormer_BASELINE,0,4,444,0.8334343115800069,cnv_only
0.02955665024630542,0.011728829462819612,0.2,-0.008042136807802127,0.0,0.0,0.0,0.1477832512315271,0.0797872340425532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020665420748025,0.28478035742651475,0.642515923566879,0.3164237834336825,0.6279693486590039,0.14056254941512436,0.604054659498208,0.5936488747359199,0.5769230769230769,0.32517132027352696,0.5588697017268446,0.048095259274319936,MOGFormer_BASELINE,0,4,444,0.8334343115800069,methy_only
0.6666060634844708,0.811057753841289,0.657445054945055,0.7313187702715893,0.9508196721311475,1.0,0.90625,0.3,0.6,0.2,0.9109947643979057,0.9157894736842105,0.90625,0.7096774193548387,0.6111111111111112,0.8461538461538461,0.46153846153846156,0.5,0.42857142857142855,0.9575562335028212,0.7671840755121264,0.9992038216560509,0.9965277777777778,0.9042145593869733,0.46280548918016945,0.9639336917562724,0.9658938490773974,0.9502564102564102,0.7933463227497771,0.9701726844583988,0.6173469387755102,MOGFormer_BASELINE,0,4,444,0.8334343115800069,rna_cnv
0.5814826724883959,0.7024706135043638,0.5955906593406592,0.6404562078365271,0.96875,0.96875,0.96875,0.5789473684210527,0.4782608695652174,0.7333333333333333,0.8430493273542601,0.7401574803149606,0.9791666666666666,0.26666666666666666,1.0,0.15384615384615385,0.25,1.0,0.14285714285714285,0.9644024377770158,0.8267931532287763,0.9990047770700637,0.9953368015552996,0.9555555555555555,0.7095679832656576,0.9571012544802867,0.9611608582393885,0.944102564102564,0.8473118877894185,0.9662480376766092,0.6205882352941177,MOGFormer_BASELINE,0,4,444,0.8334343115800069,rna_methy
0.19567193846685677,0.26738466308079994,0.2847802197802198,0.07025840254741533,0.3157894736842105,1.0,0.1875,0.10344827586206896,0.06976744186046512,0.2,0.3586206896551724,0.5306122448979592,0.2708333333333333,0.09523809523809523,0.6666666666666666,0.05128205128205128,0.10526315789473684,0.056818181818181816,0.7142857142857143,0.7099316978234411,0.36927869375308875,0.8220541401273886,0.5753275132826086,0.5739463601532566,0.09966638504195469,0.7118055555555555,0.6564085214233691,0.6953846153846154,0.4079143047156641,0.7464678178963893,0.1070767443018471,MOGFormer_BASELINE,0,4,444,0.8334343115800069,cnv_methy
0.8410884353741496,0.8911707841031149,0.8334478021978022,0.8407611825996986,0.9538461538461539,0.9393939393939394,0.96875,0.6923076923076923,0.9,0.5625,0.9387755102040817,0.92,0.9583333333333334,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.8,0.75,0.8571428571428571,0.9879353047525008,0.9379383949741353,0.9986155063291139,0.9943910256410257,0.9874281609195402,0.9275130063173541,0.9838209219858155,0.9853346402650144,0.9760570555272542,0.9015009216949019,0.9937548790007806,0.8809523809523809,MOGFormer_BASELINE,1,0,444,0.8518681318681318,full
0.4620223911754259,0.6749127088145195,0.4574175824175824,0.5520476743748091,0.8363636363636363,1.0,0.71875,0.0,0.0,0.0,0.852017937219731,0.7480314960629921,0.9895833333333334,0.4788732394366197,0.53125,0.4358974358974359,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.9407726769404391,0.6569273914207571,0.9974287974683544,0.9909722222222223,0.9037356321839081,0.4252891358991402,0.9701906028368794,0.9734453608900753,0.8996434029546613,0.6040061761598828,0.9328649492583919,0.29092406193246534,MOGFormer_BASELINE,1,0,444,0.8518681318681318,rna_only
0.22435527232898536,0.458358531996625,0.26858974358974363,0.26166050458396634,0.0,0.0,0.0,0.0,0.0,0.0,0.7603305785123967,0.6301369863013698,0.9583333333333334,0.3614457831325301,0.3409090909090909,0.38461538461538464,0.0,0.0,0.0,0.7030005633868273,0.3682597917372372,0.6354825949367089,0.22561489900600365,0.6788793103448276,0.1382187792871518,0.8285682624113475,0.8051989108156103,0.6320258108337579,0.2732459737467846,0.7400468384074942,0.39902039583063553,MOGFormer_BASELINE,1,0,444,0.8518681318681318,cnv_only
0.1603550295857988,0.3243382123948926,0.20144230769230767,0.04782350360584321,0.0,0.0,0.0,0.0,0.0,0.0,0.5325443786982249,0.6164383561643836,0.46875,0.2692307692307692,0.1794871794871795,0.5384615384615384,0.0,0.0,0.0,0.5996119080083637,0.2945789085989948,0.7832278481012658,0.3947379811889897,0.5298132183908045,0.08935799044652507,0.6606826241134752,0.6799650381031791,0.5559517744948208,0.26002686563754646,0.46838407494145196,0.04880666761873365,MOGFormer_BASELINE,1,0,444,0.8518681318681318,methy_only
0.6774531683235274,0.7764672382925258,0.6832875457875458,0.7012480261758224,0.9354838709677419,0.9666666666666667,0.90625,0.2222222222222222,1.0,0.125,0.8962264150943396,0.8189655172413793,0.9895833333333334,0.5833333333333334,0.6363636363636364,0.5384615384615384,0.75,0.6666666666666666,0.8571428571428571,0.9766961774430186,0.8660821935882794,0.9970332278481012,0.9889875952060933,0.9737787356321839,0.8555777759821878,0.9841533687943262,0.9857060197983833,0.9363219561895059,0.7393686018980437,0.9921935987509758,0.7607709750566893,MOGFormer_BASELINE,1,0,444,0.8518681318681318,rna_cnv
0.8092475293147562,0.8698346885803764,0.7647664835164836,0.808657831031759,0.9841269841269841,1.0,0.96875,0.64,0.8888888888888888,0.5,0.9183673469387755,0.9,0.9375,0.7764705882352941,0.717391304347826,0.8461538461538461,0.7272727272727273,1.0,0.5714285714285714,0.9819974890391693,0.9237358980502972,0.9976265822784811,0.9914772727272727,0.9752155172413792,0.8694605822088957,0.9823803191489362,0.9838873350826824,0.9578875870266599,0.8371196063550836,0.9968774395003903,0.9367346938775509,MOGFormer_BASELINE,1,0,444,0.8518681318681318,rna_methy
0.317762640944114,0.5143667977987473,0.34347527472527467,0.3222309620259671,0.0,0.0,0.0,0.13043478260869565,0.1,0.1875,0.7821782178217822,0.7452830188679245,0.8229166666666666,0.4943820224719101,0.44,0.5641025641025641,0.18181818181818182,0.25,0.14285714285714285,0.7035497949238557,0.3404995292678493,0.5534018987341771,0.20713429117928228,0.7051005747126436,0.13740381791768416,0.8192597517730497,0.7664896535734094,0.7405331974868398,0.4660220788473598,0.6994535519125683,0.1254478048215108,MOGFormer_BASELINE,1,0,444,0.8518681318681318,cnv_methy
0.8591286836182206,0.8775019447061632,0.889241569833675,0.8207688418090514,0.9538461538461539,0.96875,0.9393939393939394,0.7894736842105263,0.6818181818181818,0.9375,0.9,0.9642857142857143,0.84375,0.7951807228915663,0.7333333333333333,0.868421052631579,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9867817480647487,0.9544246093736973,0.998648909476935,0.9944197216924489,0.9956896551724138,0.9534373102387809,0.9786125886524824,0.980286174687073,0.9617382271468145,0.8618369831073269,0.9992193598750976,0.982142857142857,MOGFormer_BASELINE,1,1,444,0.8395191467258174,full
0.398573876737911,0.6382692844511285,0.4313696172248804,0.5290553208071928,0.6122448979591837,0.9375,0.45454545454545453,0.0,0.0,0.0,0.8379888268156425,0.9036144578313253,0.78125,0.5426356589147286,0.38461538461538464,0.9210526315789473,0.0,0.0,0.0,0.9434025519354302,0.7652229214795232,0.9971048060220035,0.985887409936016,0.8311781609195402,0.2967079845949028,0.9655363475177305,0.965369335105219,0.9349030470914127,0.8070614423873288,0.9882903981264637,0.7710884353741496,MOGFormer_BASELINE,1,1,444,0.8395191467258174,rna_only
